Utility,Year,Month,Assistance Amount
CNG,2023,11,0
CNG,2023,3,0
NWN,2023,8,0
PAC,2021,1,0
PSE,2025,8,0
CNG,2024,3,0
NWN,2023,2,0
NWN,2024,3,0
Avista,2023,10,0
PSE,2024,6,0
PSE,2022,8,18290
PSE,2022,9,10035
PAC,2022,5,0
Avista,2023,1,0
CNG,2022,7,0
NWN,2022,12,14116
CNG,2021,9,142386
PAC,2023,10,0
NWN,2025,12,0
NWN,2021,7,4061
Avista,2024,8,0
Avista,2021,11,0
Avista,2022,7,0
CNG,2022,3,396575
PAC,2023,3,0
CNG,2025,10,0
Avista,2022,4,0
PSE,2022,1,1303919
Avista,2023,4,0
PSE,2024,1,0
PAC,2024,8,0
CNG,2023,2,0
PSE,2024,8,0
NWN,2025,9,0
PAC,2022,12,0
NWN,2022,3,11563
CNG,2021,11,96198
Avista,2025,8,0
Avista,2021,10,0
CNG,2025,11,0
Avista,2022,3,0
PSE,2024,7,0
PAC,2025,8,0
PAC,2025,11,0
PSE,2023,1,2528
Avista,2025,11,0
NWN,2021,9,374
PSE,2024,11,0
NWN,2025,3,0
NWN,2021,8,687
PAC,2021,10,102533
PAC,2023,6,0
CNG,2025,9,0
PSE,2025,11,0
PAC,2022,7,0
CNG,2024,5,0
PAC,2021,3,0
CNG,2022,12,0
Avista,2025,1,0
Avista,2023,8,0
NWN,2022,1,3029
PAC,2021,5,203728
Avista,2024,10,0
Avista,2022,6,0
PAC,2022,1,52152
CNG,2023,10,0
Avista,2021,1,0
NWN,2023,4,0
PSE,2022,4,936954
CNG,2025,2,0
PSE,2021,8,875567
Avista,2023,5,0
PSE,2025,4,0
Avista,2023,2,0
PSE,2021,11,406585
PSE,2022,3,1364334
Avista,2024,1,0
CNG,2023,4,0
PSE,2021,12,26440209
NWN,2021,10,2755
PSE,2025,3,0
CNG,2021,6,262067
NWN,2021,3,0
Avista,2025,2,0
PSE,2025,2,0
PSE,2023,7,0
PAC,2021,12,685428
PAC,2025,10,0
Avista,2025,10,0
PAC,2025,3,0
PAC,2025,12,0
CNG,2024,11,0
PAC,2023,5,0
PAC,2025,4,0
PSE,2023,10,0
Avista,2021,2,0
Avista,2024,4,0
NWN,2025,6,0
PAC,2023,9,0
PSE,2024,2,0
Avista,2021,7,193858
CNG,2021,7,306863
PSE,2024,12,0
NWN,2025,7,0
CNG,2021,5,317816
PAC,2021,4,1097046
NWN,2023,9,0
PSE,2022,6,440239
NWN,2025,2,0
CNG,2023,7,0
PAC,2023,7,0
Avista,2021,6,2470011
CNG,2024,1,0
Avista,2025,12,0
Avista,2022,10,0
PAC,2022,9,0
Avista,2021,5,602411
CNG,2024,2,0
PAC,2021,11,147587
NWN,2025,11,0
PAC,2021,9,144951
Avista,2024,6,0
PSE,2025,7,0
PAC,2024,4,0
Avista,2021,4,3045604
Avista,2025,4,0
PAC,2025,7,0
NWN,2023,1,0
PAC,2025,5,0
NWN,2022,8,913
CNG,2024,6,0
PSE,2023,9,0
PAC,2022,3,2043
NWN,2024,11,0
PSE,2023,8,0
PAC,2023,4,0
PSE,2021,3,0
Avista,2022,9,0
CNG,2023,12,0
Avista,2023,7,0
CNG,2021,2,0
Avista,2021,3,0
Avista,2024,7,0
Avista,2023,6,0
PAC,2024,12,0
PSE,2021,7,871681
PSE,2025,6,0
NWN,2022,9,707
NWN,2021,5,41738
PAC,2022,4,0
PAC,2025,1,0
PAC,2021,2,0
NWN,2025,10,0
CNG,2021,1,0
CNG,2023,5,0
NWN,2025,8,0
NWN,2025,4,0
PAC,2021,8,168371
NWN,2024,12,0
CNG,2024,7,0
Avista,2023,3,0
PAC,2024,9,0
PSE,2022,5,353237
PSE,2021,4,5101690
NWN,2024,5,0
PSE,2022,11,5433
PSE,2024,4,0
Avista,2022,12,0
Avista,2024,9,0
Avista,2022,5,0
PAC,2024,7,0
PSE,2023,5,0
PSE,2021,10,572516
NWN,2022,4,2573
PSE,2025,1,0
PSE,2025,12,0
PSE,2024,10,0
PSE,2024,9,0
CNG,2024,10,0
PSE,2023,6,4302821
NWN,2021,1,0
PSE,2023,3,0
PAC,2023,2,0
NWN,2023,5,0
NWN,2021,2,0
PSE,2021,1,0
CNG,2024,4,0
CNG,2021,3,0
NWN,2024,7,0
NWN,2023,10,0
CNG,2023,8,0
PAC,2022,8,0
NWN,2021,11,9729
CNG,2025,3,0
CNG,2024,12,0
NWN,2022,2,8137
PAC,2023,1,0
CNG,2022,8,0
NWN,2021,4,0
CNG,2022,10,0
NWN,2025,1,0
CNG,2021,4,968699
PAC,2023,11,0
NWN,2021,12,6617
NWN,2024,4,0
CNG,2022,6,43017
NWN,2022,5,25952
NWN,2024,1,0
PAC,2023,8,0
Avista,2022,11,0
PSE,2022,7,29844
PSE,2023,2,0
Avista,2024,12,0
PSE,2024,5,0
CNG,2021,8,181458
PSE,2021,2,0
PAC,2024,11,0
PSE,2021,9,3974639
PAC,2025,2,0
PAC,2022,2,18636
NWN,2024,6,0
CNG,2025,1,0
PSE,2022,2,1289368
Avista,2024,2,0
CNG,2022,1,397252
PAC,2025,6,0
NWN,2023,11,0
PSE,2023,4,0
CNG,2022,2,280404
NWN,2022,6,71637
PAC,2024,5,0
CNG,2024,8,0
PSE,2025,10,0
CNG,2023,6,0
Avista,2021,9,0
NWN,2023,3,0
PAC,2023,12,0
CNG,2021,12,131043
CNG,2023,9,0
CNG,2021,10,184945
CNG,2025,12,0
PAC,2021,7,129424
NWN,2023,12,0
PSE,2022,10,7375
PSE,2025,9,0
Avista,2025,7,0
NWN,2024,9,0
NWN,2022,7,3651
PAC,2022,10,0
PAC,2022,6,0
Avista,2021,12,0
CNG,2022,11,0
NWN,2021,6,3400
CNG,2022,9,0
NWN,2025,5,0
PSE,2021,5,4285396
PSE,2022,12,5217
PAC,2024,3,0
Avista,2021,8,43462
Avista,2024,3,0
PSE,2025,5,0
Avista,2025,3,0
PAC,2024,1,0
Avista,2023,12,0
CNG,2024,9,0
PSE,2023,12,0
CNG,2022,4,1686
NWN,2023,7,0
PAC,2022,11,0
PAC,2024,2,0
Avista,2022,1,0
Avista,2023,11,0
CNG,2025,4,0
NWN,2022,10,255
Avista,2023,9,0
Avista,2022,2,0
Avista,2025,5,0
Avista,2022,8,0
CNG,2023,1,0
Avista,2024,11,0
PAC,2024,6,0
PSE,2021,6,1109032
Avista,2025,6,0
CNG,2025,7,0
NWN,2022,11,8563
NWN,2024,2,0
PAC,2024,10,0
NWN,2024,10,0
PAC,2025,9,0
Avista,2024,5,0
CNG,2022,5,0
